"Group","File","Passed"
"successful","01_arithmetic_basic.cvm","True"
"successful","02_operator_precedence.cvm","True"
"successful","03_parentheses.cvm","True"
"successful","04_unary_negative.cvm","True"
"successful","05_variable_reassign.cvm","True"
"successful","06_boolean_true_false.cvm","True"
"successful","07_if_true_branch.cvm","True"
"successful","08_if_else_false_branch.cvm","True"
"successful","09_nested_if.cvm","True"
"successful","10_while_countdown_sum.cvm","True"
"successful","11_factorial_6.cvm","True"
"successful","12_equality_true.cvm","True"
"successful","13_equality_false.cvm","True"
"successful","14_chained_assignments.cvm","True"
"successful","15_nested_blocks.cvm","True"
"successful","16_complex_expression.cvm","True"
"successful","17_input_compare_low.cvm","True"
"successful","18_input_compare_high.cvm","True"
"successful","19_while_zero_iterations.cvm","True"
"successful","20_fibonacci_iterative.cvm","True"
"unsuccessful","01_unsupported_greater_than.cvm","True"
"unsuccessful","02_unsupported_not_equal.cvm","True"
"unsuccessful","03_missing_semicolon.cvm","True"
"unsuccessful","04_missing_closing_paren.cvm","True"
"unsuccessful","05_missing_closing_brace.cvm","True"
"unsuccessful","06_invalid_assignment_target.cvm","True"
"unsuccessful","07_undefined_variable_print.cvm","True"
"unsuccessful","08_division_by_zero.cvm","True"
"unsuccessful","09_empty_expression_after_print.cvm","True"
"unsuccessful","10_double_operator.cvm","True"
"unsuccessful","11_else_without_if.cvm","True"
"unsuccessful","12_bad_identifier_start.cvm","True"
"unsuccessful","13_unknown_character.cvm","True"
"unsuccessful","14_no_initializer_in_let.cvm","True"
"unsuccessful","15_unterminated_while_block.cvm","True"
"unsuccessful","16_assignment_without_rhs.cvm","True"
"unsuccessful","17_input_missing_operand.cvm","True"
"unsuccessful","18_stray_rbrace.cvm","True"
"unsuccessful","19_missing_condition_if.cvm","True"
"unsuccessful","20_runtime_division_nested.cvm","True"
"unsuccessful","21_chained_assignment_stack_underflow.cvm","True"
